ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
7689,Guinea,240,390,Pigmented,2,Present,White,69,129,30,33,12,Loose stiff branches,Black,One-fourth grain covered,Light red,Lustrous,Absent,4,4.59,Partly corneous,Freely threshable,Highly suceptible,NULL,65,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,108.0500031,NULL,NULL,NULL,NULL,26.4,85.3,148.7
7690,Guinea,245,450,Pigmented,1,Absent,White,81,130,32,41,15,Loose stiff branches,Straw,One-fourth grain covered,White,Lustrous,Absent,4,4.06,Mostly corneous,Partly threshable,Highly suceptible,NULL,57,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,116.3000031,NULL,NULL,NULL,NULL,26.4,85.3,148.7
7691,Guinea,250,500,Pigmented,1,Absent,White,75,153,22,41,15,Loose stiff branches,Light brown,One-fourth grain covered,Straw,Lustrous,Absent,4,4.15,Partly corneous,Freely threshable,Suceptible,NULL,55,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,128.9700012,7.4,2.4,NULL,NULL,26.4,85.3,148.7
7692,Guinea,240,500,Pigmented,1,Present,White,76,144,36,36.5,17,Loose stiff branches,Black,One-fourth grain covered,Straw,Lustrous,Absent,3.8,4.55,Partly corneous,Partly threshable,Suceptible,NULL,56,NULL,Resistant,NULL,NULL,21-40% leaf area damaged,NULL,NULL,NULL,104.4100037,NULL,NULL,NULL,NULL,27.5,86.4,149.8
7693,Guinea,280,450,Pigmented,1,Present,White,69,139,19,44,21,Loose stiff branches,Black,One-fourth grain covered,Light red,Lustrous,Absent,4,4.5,Partly corneous,Freely threshable,Moderately resistant,NULL,96,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,93.55000305,7,2.4,NULL,NULL,26.4,85.3,148.7
7694,Guinea,230,570,Pigmented,2,Absent,White,91,129,25,30,13,Loose drooping branches,Light red,One-fourth grain covered,White,Lustrous,Absent,4,3.24,Partly corneous,Partly threshable,Moderately resistant,NULL,59,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,80.31999969,11,NULL,NULL,NULL,23.4,82.3,145.7
7695,Guinea,280,550,Pigmented,2,Absent,White,82,131,23,35.5,11,Loose stiff branches,Black,One-fourth grain covered,Straw,Lustrous,Absent,4,4.15,Partly corneous,Freely threshable,Moderately resistant,NULL,64,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,96.36000061,7.2,2.5,NULL,NULL,26.4,85.3,148.7
7696,Guinea,280,480,Pigmented,2,Present,White,70,135,29,36,12,Loose stiff branches,Black,One-fourth grain covered,Straw,Lustrous,Absent,4,4.4,Partly corneous,Partly threshable,Suceptible,Highly suceptible,58,NULL,Moderately susceptible,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,90.54000092,9.3,NULL,NULL,NULL,28.9,87.9,150.9
7697,Guinea,260,440,Pigmented,2,Present,White,74,130,19,37,13,Loose stiff branches,Light brown,One-fourth grain covered,White,Lustrous,Absent,3.8,4.45,Partly corneous,Freely threshable,Suceptible,NULL,62,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,1.129999995,NULL,NULL,NULL,NULL,21.8,80.5,144.4
7698,Guinea,275,470,Pigmented,2,Present,White,81,125,16,36,11,Loose stiff branches,Black,One-fourth grain covered,Light red,Lustrous,Absent,4.5,5.24,Partly corneous,Freely threshable,Suceptible,NULL,33,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,0.50999999,7.6,2.4,NULL,NULL,21.8,80.5,144.4
7699,Guinea,265,525,Pigmented,2,Absent,White,83,151,28,34,22,Loose stiff branches,Light brown,Half grain covered,Yellow,Lustrous,Absent,4,3.8,Mostly corneous,Freely threshable,Highly suceptible,NULL,16,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,2.599999905,7.8,2.6,NULL,NULL,23.4,82.3,145.7
7700,Guinea,265,450,Pigmented,2,Present,White,82,131,19,34,11,Loose stiff branches,Black,One-fourth grain covered,White,Lustrous,Absent,4.5,3.91,Mostly corneous,Partly threshable,Suceptible,NULL,81,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,80.40000153,NULL,NULL,NULL,NULL,26.4,85.3,148.7
