ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
9581,30,26,Low anthocyanin,Semi-erect,3,1.3,4,4.7,1.3,61,31,Pink,110,63,1,290,Yellow,Present,Angular,Rough,12,19.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9582,31,37.3,Low anthocyanin,Semi-erect,3.3,1,1.7,4.7,0.3,63,31,Pink,109,25,1.3,310,Yellow,Present,Angular,Rough,12,18.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9583,36,45.7,Low anthocyanin,Semi-erect,4.7,0.3,6,3,0.7,66,42,Pink,130,42,1.1,1600,Yellow,Present,Angular,Rough,12,22.4,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9584,56,50.2,Low anthocyanin,Semi-erect,2.6,0.2,3.8,1.6,NULL,77,30,Dark pink,123,23,1.1,420,Yellow brown,Present,Angular,Rough,35,22.1,Susceptible,Susceptible,Susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL
9585,43,46.7,Low anthocyanin,Semi-erect,1.3,NULL,2,2.3,0.7,70,19,Pink,112,53,1.1,1470,Yellow,Present,Angular,Rough,15,19.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9586,29,25.7,Low anthocyanin,Semi-erect,2,1,5.7,4,3,73,42,Pink,150,62,1.4,830,Brown,Present,Angular,Rough,11,20.1,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9587,37,35.7,Low anthocyanin,Semi-erect,2,1.3,5.3,2.7,3.3,64,49,Pink,156,29,1.1,1100,Light brown,Present,Angular,Rough,22,17.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9588,43,49.7,Low anthocyanin,Semi-spreading,2,NULL,1,0.7,NULL,65,37,Pink,111,50,1.2,1310,Yellow,Present,Angular,Rough,11,17.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9589,33,36.3,Low anthocyanin,Semi-spreading,3.3,0.7,3.3,2,0.3,67,27,Pink,110,65,1,1270,Yellow,Present,Angular,Rough,15,19.9,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9590,43,37.7,No anthocyanin,Semi-erect,1,4,1.3,5.3,2,39,31,Very light pink,85,40,1.4,1330,Yellow brown,Present,Angular,Rough,14,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
